project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
Osmand,1b95b0d0679f6a5150e225f6c13c3a4acb936620,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,15fc1f0b15e3b1d0acd8e7fb0301ca23e71f41f0,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,5bb7839e6247637881884b68fd264e7049af5c5d,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,4a8bf89556ad2f7068f4a4281ea5dcfc42d01a94,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b4d17fe908ed8e1932ce6fd5c3a232f9f18b1e41,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b6fac55283a48eadfdac35c94463c68825f39540,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,5df7d8d7df4a9f678903fdd6edb2a97f655aa40b,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,0a62b3f5f6857c2e1b0bda0fd6e190df13110b89,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,e1de1d53b340687b50027f549b5f88e49e6cfa36,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,8b3441220e8618be5b932fb8361200cfe02854d8,OsmandOdb,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,56778e17246a687846b81f1aa6de997e78313465,Renderable,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,5825b0737bc9e323df41da87d1e3d6dadf0d4393,Renderable,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,54d40abb1333b8d3bf995e699239bb2578fdc4a1,RouteStatisticsHelper,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,50ec2981c89356036bc25b366e5e1d0484bf17d9,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,164760e0df317bb104833eb1681bf5f01caed2ca,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,12d52a6af4739e45b2c48b66e3fbc4a002f4376a,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,db15e8aa30c8eafbd9056e55e2c454a0985841ac,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,cd8959d114cb03f17633a31fdb6ce4365c19bc13,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,be56a5a120d0344a053970a5617703ad95ef613e,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,a751564dccba1e6ad8717826eefca4fcdb07e0f4,OsmandOdb,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,d0f9f3c118a246bcca56448433793a345caa33b6,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,9500ceb91fdbe12c84de449a528817e1e3ca6cbe,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,4fc066944f3ef00127cb8f6bd9ca4cf2bab760f8,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,16e13b1040c6ae330d3609478e79423b6862f890,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,55306a9761699040b4e314f1fe29d5e146297bf9,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,0e2a6494670de7e956553ef8e63092d32d9ed536,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,a0c57a354e336fb5f9c9fac13e448f4b3c497ae9,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,0396aa5300dac2921995b22645087f8016e454f0,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,564a8662b3899d008635c0c8cad8a21f454399e7,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,578f9c82fc6bc8d795c9bc42acfc547e9ab92264,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,e389479fe03bb6ee1447a6fd2efc9b2f008c0e57,OsmandSettings,0,0,0,0,0,0,false,false,true,true,true,true
Osmand,a5566a64770a053bdcdb77f8ee14ac4fd41d5d42,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,1daa622890217386a9c294500b7310220a804b0a,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,68877002880acd2f1def5debe5e317a757fd18fa,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,4c9525cef3c739d82d0342fe191b76002e3a63c2,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,117e3af36ce67b6e6bef49e8e3871b10940274cb,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,70f798486b5df48e0afa6f196f227a76b93ff659,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,f68498ad135329a7208bf2cd598f30129ba35c58,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,021b493a5699eb0f85bb9e578cb2355ac4a77f46,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,dca5eff5a42abbda210fe9d496417bc09eff0677,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,f254dedb18ca813178ae0e2f7746ba76ffc12dcc,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,5d0a776952841eaea8b9278c95ac1756b2ba9edf,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,c61f5fba0f2a4905f57c833d1bd8aaf90e05d489,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,cdc02ab8999ec45b624a88b203fc590c9ab33b44,MapRoutingTypes,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,92f0178c66126bcfbc9bca3c85680d68153b4a16,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,0441b77952b5d2811a68343d66e16dd78f1bac0a,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
