project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ScanResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ScanResult,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TSamplerConfiguration,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TSamplerConfiguration,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ConditionalWriterImpl,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ConditionalWriterImpl,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TableConfWatcher,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TableConfWatcher,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RFileScanner,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RFileScanner,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,GcCycleStats,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,GcCycleStats,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TCredentials,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TCredentials,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TableInfo,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TableInfo,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloReloadingVFSClassLoader,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloReloadingVFSClassLoader,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,DiskUsage,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,DiskUsage,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TColumn,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TColumn,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,InitialMultiScan,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,InitialMultiScan,1,1,0,true,false,false,true,false,false
